Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hitsl;hittp;hitto;
0,0101999999999999;EURUSD;744;FastMovement-Strategy;150;4;0,2;0,04;0,37;True;12;0,0113999999999999;0;0,416666666666667;0,916666666666667;0,000949999999999988;0,000367741935483866;0,387096774193548;1;30;0;10;2;
-0,0145;EURUSD;744;FastMovement-Strategy;40;27;0,63;0,15;0,37;False;4;-0,0141;-0,0141;1;0,25;-0,003525;-0,000454838709677419;0,129032258064516;0;19;3;1;0;
0,0176;EURUSD;744;FastMovement-Strategy;190;16;0,37;0,11;0,18;True;7;0,0183;-0,00209999999999999;0,142857142857143;0,857142857142857;0,00261428571428571;0,000590322580645161;0,225806451612903;0,75;18;1;6;0;
-0,0133999999999997;EURUSD;744;FastMovement-Strategy;20;26;0,53;0,13;0,28;False;8;-0,0125999999999997;-0,0125999999999997;1;0,5;-0,00157499999999997;-0,000406451612903217;0,258064516129032;0,25;15;1;4;3;
0,0165000000000003;EURUSD;744;FastMovement-Strategy;30;21;0,26;0,07;0,31;True;29;0,0194000000000003;-0,00399999999999978;0,413793103448276;0,586206896551724;0,00066896551724139;0,000625806451612913;0,935483870967742;0,714285714285714;25;1;12;16;
0,00740000000000005;EURUSD;744;FastMovement-Strategy;50;5;0,64;0,21;0,19;True;2;0,00760000000000005;0;0;1;0,00380000000000003;0,000245161290322582;0,0645161290322581;1;5;0;2;0;
0,0149000000000001;EURUSD;744;FastMovement-Strategy;50;1;0,26;0,4;0,33;True;3;0,0152000000000001;0;0;1;0,0050666666666667;0,000490322580645165;0,0967741935483871;1;10;0;3;0;
-0,0264000000000005;EURUSD;744;FastMovement-Strategy;120;28;0,21;0,31;0,26;False;49;-0,0215000000000005;-0,0241999999999998;0,612244897959184;0,428571428571429;-0,000438775510204092;-0,000693548387096791;1,58064516129032;0,454545454545455;104;11;4;34;
-0,00899999999999992;EURUSD;744;FastMovement-Strategy;70;6;0,67;0,18;0,33;False;2;-0,00879999999999992;-0,00879999999999992;1;0;-0,00439999999999996;-0,000283870967741933;0,0645161290322581;0;6;2;0;0;
-0,0166000000000001;EURUSD;744;FastMovement-Strategy;70;27;0,35;0,38;0,1;False;12;-0,0154000000000001;-0,0154000000000001;0,833333333333333;0,416666666666667;-0,00128333333333334;-0,00049677419354839;0,387096774193548;0,4;43;7;0;5;
-0,0171;EURUSD;744;FastMovement-Strategy;130;18;0,39;0,29;0,04;False;7;-0,0164;-0,0164;1;0;-0,00234285714285714;-0,000529032258064515;0,225806451612903;0;14;7;0;0;
-0,0108999999999997;EURUSD;744;FastMovement-Strategy;80;10;0,45;0,11;0,14;False;4;-0,0104999999999997;-0,0104999999999997;1;0,25;-0,00262499999999993;-0,000338709677419346;0,129032258064516;0;8;3;1;0;
-0,112599999999999;EURUSD;744;FastMovement-Strategy;170;28;0,06;0,01;0,02;False;1095;-0,00309999999999899;-0,0224999999999997;0,493150684931507;0,687671232876712;-2,83105022830958E-06;-9,99999999999675E-05;35,3225806451613;0,615384615384615;10;342;753;0;
-0,0128000000000003;EURUSD;744;FastMovement-Strategy;50;1;0,06;0,23;0,11;False;110;-0,00180000000000025;-0,0148000000000004;0,527272727272727;0,490909090909091;-1,63636363636386E-05;-5,80645161290402E-05;3,54838709677419;0,583333333333333;33;43;13;54;
-0,0199000000000018;EURUSD;744;FastMovement-Strategy;140;15;0,14;0,02;0,19;False;158;-0,00410000000000177;-0,00930000000000142;0,518987341772152;0,841772151898734;-2,59493670886188E-05;-0,000132258064516186;5,09677419354839;0,416666666666667;17;22;133;3;
-0,0219000000000012;EURUSD;744;FastMovement-Strategy;50;16;0,19;0,09;0,02;False;63;-0,0156000000000012;-0,0183000000000011;0,603174603174603;0,349206349206349;-0,000247619047619066;-0,000503225806451651;2,03225806451613;0,3;13;40;21;2;
-0,0163;EURUSD;744;FastMovement-Strategy;40;27;0,69;0,25;0,18;False;3;-0,016;-0,016;1;0;-0,00533333333333334;-0,000516129032258065;0,0967741935483871;0;27;3;0;0;
0,0144000000000003;EURUSD;744;FastMovement-Strategy;60;25;0,33;0,41;0,08;True;12;0,0156000000000003;-0,00300000000000011;0,25;0,5;0,00130000000000002;0,000503225806451622;0,387096774193548;0,6;39;4;3;5;
-0,0128000000000002;EURUSD;744;FastMovement-Strategy;140;2;0,43;0,22;0,16;False;3;-0,0125000000000002;-0,0125000000000002;1;0;-0,00416666666666673;-0,000403225806451619;0,0967741935483871;0;8;3;0;0;
0,0147000000000001;EURUSD;744;FastMovement-Strategy;140;20;0,49;0,14;0,29;True;5;0,0152000000000001;-0,000600000000000156;0;0,8;0,00304000000000002;0,000490322580645165;0,161290322580645;1;48;0;4;1;
-0,0167;EURUSD;744;FastMovement-Strategy;60;7;0,47;0,34;0,23;False;4;-0,0163;-0,0163;1;0;-0,004075;-0,000525806451612903;0,129032258064516;0;16;4;0;0;
-0,00970000000000008;EURUSD;744;FastMovement-Strategy;120;10;0,61;0,02;0,39;False;3;-0,00940000000000008;-0,00940000000000008;1;0,333333333333333;-0,00313333333333336;-0,000303225806451615;0,0967741935483871;0;7;2;1;0;
-0,1372;EURUSD;744;FastMovement-Strategy;100;5;0,03;0,19;0,05;True;838;-0,0534000000000003;-0,0605000000000002;0,502386634844869;0,276849642004773;-6,37231503579956E-05;-0,0017225806451613;27,0322580645161;0,153846153846154;56;568;80;190;
0,0176999999999998;EURUSD;744;FastMovement-Strategy;70;11;0,42;0,27;0,24;True;4;0,0180999999999998;0;0;1;0,00452499999999995;0,000583870967741928;0,129032258064516;1;20;0;4;0;
-0,0216000000000001;EURUSD;744;FastMovement-Strategy;30;4;0,31;0,34;0,24;False;6;-0,0210000000000001;-0,0210000000000001;1;0;-0,00350000000000002;-0,000677419354838714;0,193548387096774;0;16;5;0;1;
0,0177;EURUSD;744;FastMovement-Strategy;80;23;0,55;0,34;0,11;True;6;0,0183;-0,00150000000000006;0;0,666666666666667;0,00305;0,000590322580645161;0,193548387096774;1;20;2;4;0;
-0,0120000000000001;EURUSD;744;FastMovement-Strategy;180;21;0,49;0,02;0,33;False;7;-0,0113000000000001;-0,0113000000000001;1;0,571428571428571;-0,00161428571428573;-0,000364516129032261;0,225806451612903;0,333333333333333;11;3;4;0;
0,0098000000000002;EURUSD;744;FastMovement-Strategy;70;20;0,51;0,2;0,21;True;6;0,0104000000000002;-0,00250000000000017;0;0,5;0,00173333333333336;0,000335483870967748;0,193548387096774;0,666666666666667;24;2;3;1;
0,0140999999999995;EURUSD;744;FastMovement-Strategy;140;14;0,45;0,13;0,15;True;6;0,0146999999999995;-0,00240000000000018;0;0,833333333333333;0,00244999999999992;0,00047419354838708;0,193548387096774;1;14;1;5;0;
-0,0083;EURUSD;744;FastMovement-Strategy;180;1;0,55;0,32;0,06;False;2;-0,0081;-0,0081;1;0;-0,00405;-0,000261290322580645;0,0645161290322581;0;2;2;0;0;
-0,0436000000000003;EURUSD;744;FastMovement-Strategy;80;14;0,04;0,14;0,08;False;641;0,0204999999999997;-0,00769999999999937;0,500780031201248;0,491419656786271;3,19812792511696E-05;0,000661290322580637;20,6774193548387;0,692307692307692;80;204;152;284;
-0,0209000000000003;EURUSD;744;FastMovement-Strategy;130;29;0,39;0,37;0,33;False;10;-0,0199000000000003;-0,0199000000000003;0,9;0,3;-0,00199000000000003;-0,000641935483870976;0,32258064516129;0,25;102;3;0;7;
0,00709999999999985;EURUSD;744;FastMovement-Strategy;140;12;0,63;0,28;0,17;True;3;0,00739999999999985;-0,00240000000000018;0;0,666666666666667;0,00246666666666662;0,00023870967741935;0,0967741935483871;1;10;1;2;0;
-0,0141000000000003;EURUSD;744;FastMovement-Strategy;140;2;0,55;0,26;0,28;False;3;-0,0138000000000003;-0,0138000000000003;1;0;-0,00460000000000009;-0,000445161290322589;0,0967741935483871;0;9;3;0;0;
-0,0123000000000005;EURUSD;744;FastMovement-Strategy;90;17;0,68;0,07;0,13;False;4;-0,0119000000000005;-0,0119000000000005;1;0,25;-0,00297500000000012;-0,000383870967741951;0,129032258064516;0;10;3;1;0;
0,0096000000000002;EURUSD;744;FastMovement-Strategy;30;16;0,52;0,14;0,11;True;6;0,0102000000000002;-0,00150000000000006;0;0,5;0,00170000000000003;0,000329032258064523;0,193548387096774;0,666666666666667;14;2;3;1;
-0,00570000000000032;EURUSD;744;FastMovement-Strategy;30;6;0,39;0,1;0,13;False;5;-0,00520000000000032;-0,00520000000000032;1;0,6;-0,00104000000000006;-0,000167741935483881;0,161290322580645;0;8;2;3;0;
-0,016699999999999;EURUSD;744;FastMovement-Strategy;180;8;0,13;0,28;0,2;True;79;-0,00879999999999903;-0,0147999999999997;0,518987341772152;0,443037974683544;-0,000111392405063279;-0,000283870967741904;2,54838709677419;0,454545454545455;110;32;17;30;
-0,0201999999999999;EURUSD;744;FastMovement-Strategy;110;15;0,3;0,14;0,04;False;12;-0,0189999999999999;-0,0189999999999999;0,833333333333333;0,0833333333333333;-0,00158333333333333;-0,000612903225806449;0,387096774193548;0,25;15;11;1;0;
-0,0175000000000003;EURUSD;744;FastMovement-Strategy;30;28;0,65;0,3;0,33;False;3;-0,0172000000000003;-0,0172000000000003;1;0;-0,00573333333333344;-0,00055483870967743;0,0967741935483871;0;28;3;0;0;
-0,00370000000000006;EURUSD;744;FastMovement-Strategy;100;12;0,7;0,13;0,14;False;2;-0,00350000000000006;-0,00590000000000002;1;0,5;-0,00175000000000003;-0,000112903225806454;0,0645161290322581;0;11;1;1;0;
-0,0153999999999973;EURUSD;744;FastMovement-Strategy;180;29;0,03;0,41;0,33;True;291;0,0137000000000027;-0,0227999999999993;0,505154639175258;0,470790378006873;4,70790378006966E-05;0,000441935483871055;9,38709677419355;0,230769230769231;229;25;9;256;
-0,0157000000000001;EURUSD;744;FastMovement-Strategy;50;24;0,58;0,03;0,11;False;6;-0,0151000000000001;-0,0151000000000001;1;0,5;-0,00251666666666669;-0,000487096774193552;0,193548387096774;0;11;3;3;0;
-0,0150000000000002;EURUSD;744;FastMovement-Strategy;40;9;0,45;0,34;0,25;False;3;-0,0147000000000002;-0,0147000000000002;1;0;-0,00490000000000005;-0,000474193548387102;0,0967741935483871;0;13;3;0;0;
-0,0150000000000002;EURUSD;744;FastMovement-Strategy;80;9;0,44;0,3;0,18;False;3;-0,0147000000000002;-0,0147000000000002;1;0;-0,00490000000000005;-0,000474193548387102;0,0967741935483871;0;13;3;0;0;
-0,0087999999999982;EURUSD;744;FastMovement-Strategy;40;16;0,11;0,17;0,39;True;223;0,0135000000000018;-0,00589999999999935;0,493273542600897;0,457399103139013;6,05381165919365E-05;0,000435483870967801;7,19354838709677;0,583333333333333;40;1;20;202;
-0,0224000000000005;EURUSD;744;FastMovement-Strategy;140;25;0,23;0,15;0,04;False;50;-0,0174000000000005;-0,0213000000000005;0,62;0,3;-0,000348000000000011;-0,000561290322580662;1,61290322580645;0,222222222222222;24;35;15;0;
0,00870000000000013;EURUSD;744;FastMovement-Strategy;10;3;0,67;0,26;0,05;True;2;0,00890000000000013;0;0;1;0,00445000000000007;0,000287096774193553;0,0645161290322581;1;4;0;2;0;
-0,0214999999999998;EURUSD;744;FastMovement-Strategy;10;15;0,14;0,25;0,07;False;153;-0,00619999999999976;-0,0109000000000001;0,522875816993464;0,516339869281046;-4,05228758169919E-05;-0,000199999999999992;4,93548387096774;0,5;11;7;0;146;
-0,0161000000000003;EURUSD;744;FastMovement-Strategy;160;23;0,27;0,35;0,18;False;25;-0,0136000000000003;-0,0136000000000003;0,6;0,4;-0,000544000000000011;-0,000438709677419364;0,806451612903226;0,428571428571429;106;10;3;12;
0,0144000000000002;EURUSD;744;FastMovement-Strategy;110;9;0,59;0,2;0,22;True;3;0,0147000000000002;0;0;1;0,00490000000000005;0,000474193548387102;0,0967741935483871;1;13;0;3;0;
-0,0138999999999999;EURUSD;744;FastMovement-Strategy;50;24;0,39;0,18;0,05;False;9;-0,0129999999999999;-0,0129999999999999;0,888888888888889;0,333333333333333;-0,00144444444444443;-0,000419354838709674;0,290322580645161;0,25;27;6;1;2;
0,0136;EURUSD;744;FastMovement-Strategy;30;14;0,56;0,3;0,35;True;4;0,014;0;0;1;0,0035;0,000451612903225807;0,129032258064516;1;19;0;3;1;
-0,0178000000000003;EURUSD;744;FastMovement-Strategy;140;20;0,56;0,25;0,23;False;5;-0,0173000000000003;-0,0173000000000003;1;0,2;-0,00346000000000006;-0,000558064516129042;0,161290322580645;0;52;4;0;1;
-0,021300000000001;EURUSD;744;FastMovement-Strategy;30;1;0,1;0,32;0,27;False;19;-0,019400000000001;-0,019400000000001;0,473684210526316;0,368421052631579;-0,001021052631579;-0,000625806451612935;0,612903225806452;0,285714285714286;24;5;1;13;
