Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hittimeout;hittp;hitsl;
-0,165500000000001;USDCHF;744;SSIStochStrategy;0,04;0,18;30;120;0,06;929;-0,0726000000000011;-0,081000000000001;0,544671689989236;0,459634015069968;-7,81485468245437E-05;-0,002341935483871;29,9677419354839;0,0833333333333333;17;221;378;330;
-0,0237999999999999;USDCHF;744;SSIStochStrategy;0,04;0,21;150;960;0,28;250;0,00120000000000009;-0,0172000000000001;0,56;0,784;4,80000000000036E-06;3,87096774193577E-05;8,06451612903226;0,538461538461538;86;38;192;19;
-0,0314000000000005;USDCHF;744;SSIStochStrategy;0,2;0,1;180;780;0,06;221;-0,00930000000000053;-0,0196000000000006;0,574660633484163;0,276018099547511;-4,20814479638033E-05;-0,000300000000000017;7,12903225806452;0,666666666666667;70;28;42;151;
0,0011999999999994;USDCHF;744;SSIStochStrategy;0,03;0,07;180;1080;0,24;206;0,0217999999999994;-0,00139999999999973;0,572815533980582;0,864077669902913;0,000105825242718444;0,000703225806451593;6,64516129032258;0,769230769230769;71;17;176;12;
-0,0072000000000003;USDCHF;744;SSIStochStrategy;0,11;0,11;180;300;0,25;190;0,0117999999999997;-0,0167000000000003;0,542105263157895;0,58421052631579;6,21052631578932E-05;0,000380645161290313;6,12903225806452;0,583333333333333;183;70;93;26;
-0,0335000000000008;USDCHF;744;SSIStochStrategy;0,12;0,17;30;780;0,24;326;-0,000900000000000789;-0,00750000000000017;0,49079754601227;0,432515337423313;-2,76073619632144E-06;-2,90322580645416E-05;10,5161290322581;0,384615384615385;46;280;40;5;
-0,0328000000000004;USDCHF;744;SSIStochStrategy;0,28;0,18;120;1020;0,13;169;-0,0159000000000004;-0,0232000000000004;0,49112426035503;0,408284023668639;-9,40828402366885E-05;-0,000512903225806463;5,45161290322581;0,307692307692308;137;103;10;56;
0,0127000000000008;USDCHF;744;SSIStochStrategy;0,13;0,1;210;780;0,21;131;0,0258000000000008;-0,00829999999999953;0,557251908396947;0,580152671755725;0,000196946564885502;0,000832258064516156;4,2258064516129;0,666666666666667;180;42;64;24;
-0,0236000000000001;USDCHF;744;SSIStochStrategy;0,1;0,16;60;240;0,25;374;0,0137999999999999;-0,0152000000000002;0,508021390374332;0,497326203208556;3,68983957219249E-05;0,000445161290322578;12,0645161290323;0,615384615384615;79;251;111;11;
-0,0649999999999997;USDCHF;744;SSIStochStrategy;0,22;0,13;90;360;0,07;311;-0,0338999999999997;-0,0372999999999996;0,508038585209003;0,32475884244373;-0,000109003215434083;-0,00109354838709676;10,0322580645161;0,307692307692308;58;114;25;171;
-0,0435000000000002;USDCHF;744;SSIStochStrategy;0,27;0,11;60;420;0,11;275;-0,0160000000000002;-0,0256999999999998;0,509090909090909;0,44;-5,8181818181819E-05;-0,000516129032258072;8,87096774193548;0,333333333333333;49;187;9;78;
-0,0433000000000002;USDCHF;744;SSIStochStrategy;0,23;0,16;150;900;0,06;215;-0,0218000000000002;-0,0323000000000002;0,534883720930233;0,26046511627907;-0,00010139534883721;-0,000703225806451618;6,93548387096774;0,25;69;37;28;150;
