Score;Pair;Time;Strategy;Threshold Open;Threshold Close;Follow Trend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;
-2,94700000000002;USDCHF;744;SSIStrategy;0;0,09;False;15404;-1,40660000000002;-1,40660000000002;0,999935081796936;0,00285640093482212;-9,13139444300197E-05;-0,0453741935483879;496,903225806452;0;3;
-0,0113;USDCHF;744;SSIStrategy;0,35;0,08;True;6;-0,0107;-0,0107;0,166666666666667;0,333333333333333;-0,00178333333333334;-0,000345161290322582;0,193548387096774;0,4;4864;
-0,00959999999999992;USDCHF;744;SSIStrategy;0,23;0,14;True;8;-0,00879999999999992;-0,00879999999999992;0,375;0,625;-0,00109999999999999;-0,000283870967741933;0,258064516129032;0,666666666666667;5321;
-0,537800000000005;USDCHF;744;SSIStrategy;0,14;0,19;False;2416;-0,296200000000005;-0,296200000000005;0,999586092715232;0,0227649006622517;-0,000122599337748346;-0,00955483870967757;77,9354838709677;0,222222222222222;26;
0,0113;USDCHF;744;SSIStrategy;0,5;0,3;True;1;0,0114;0;0;1;0,0114;0,00036774193548387;0,032258064516129;1;12727;
0,0125999999999999;USDCHF;744;SSIStrategy;0,39;0,27;True;2;0,0127999999999999;0;0;1;0,00639999999999996;0,000412903225806449;0,0645161290322581;1;6471;
-1,4538;USDCHF;744;SSIStrategy;0,08;0,21;False;7499;-0,703900000000002;-0,703900000000002;0,999866648886518;0,00680090678757168;-9,38658487798375E-05;-0,0227064516129033;241,903225806452;0,0833333333333333;9;
0,0385;USDCHF;744;SSIStrategy;0,11;0,4;False;1;0,0386;0;1;1;0,0386;0,00124516129032258;0,032258064516129;1;44149;
-0,0429000000000002;USDCHF;744;SSIStrategy;0,09;0,42;False;484;0,00549999999999984;-0,0498000000000001;1;0,0165289256198347;1,1363636363636E-05;0,000177419354838704;15,6129032258065;0,25;90;
0,0504;USDCHF;744;SSIStrategy;0,24;0,4;True;1;0,0505;0;1;1;0,0505;0,00162903225806452;0,032258064516129;1;31079;
-0,777900000000011;USDCHF;744;SSIStrategy;0,02;0,16;True;4113;-0,366600000000011;-0,366600000000011;0,99975686846584;0,0111840505713591;-8,91320204230516E-05;-0,0118258064516133;132,677419354839;0,272727272727273;13;
-0,0101999999999998;USDCHF;744;SSIStrategy;0,37;0,03;True;5;-0,00969999999999982;-0,00969999999999982;0;0,4;-0,00193999999999996;-0,000312903225806446;0,161290322580645;0,4;2659;
-0,166600000000005;USDCHF;744;SSIStrategy;0,3;0,28;True;623;-0,104300000000005;-0,104300000000005;0,998394863563403;0;-0,000167415730337086;-0,0033645161290324;20,0967741935484;0;70;
0,0118;USDCHF;744;SSIStrategy;0,48;0,24;True;1;0,0119;0;0;1;0,0119;0,000383870967741936;0,032258064516129;1;12709;
-0,155500000000005;USDCHF;744;SSIStrategy;0,25;0,28;True;625;-0,093000000000005;-0,093000000000005;0,9984;0,0304;-0,000148800000000008;-0,00300000000000016;20,1612903225806;0,2;83;
