pair;timeframe;strategy;thresholdOpen;thresholdClose;followTrend;positions;profit;drawdown;long;winratio;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;meanholdtime;stringCodedParams;stringCodedPositions;
GBPUSD;912;SSIStrategy;0,4;0,17;True;4;0,0413999999999997;0;0,5;0,75;1;-0,00590000000000002;0,0157666666666666;0,0103499999999999;0,0026132142830026;0;0,00965103621379586;4731;pair:GBPUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,4|thresholdClose:0,17|followTrend:True;L:1444790359265:1,5276:1444873769265:1,5466|S:1445629919265:1,5314:1446214669265:1,5373|S:1446753779265:1,5211:1446842399265:1,5054|L:1447073179265:1,5101:1447451939265:1,5227|;
EURUSD;912;SSIStrategy;0,04;0,46;False;2;-0,0163000000000002;-0,0163000000000002;1;0,5;0,5;-0,0393000000000001;0,0229999999999999;-0,0081500000000001;0;0;0,03115;20979;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,04|thresholdClose:0,46|followTrend:False;L:1444256319265:1,124:1444848209265:1,147|L:1445526299265:1,116:1447451939265:1,0767|;
USDJPY;912;SSIStrategy;0,14;0,06;False;19;5,52999999999999;0;0,526315789473684;0,684210526315789;0,75;-0,262;0,526153846153845;0,307222222222222;0,576842045591453;0,245226425982192;0,617772032347385;2300;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,14|thresholdClose:0,06|followTrend:False;S:1444194939265:120,1:1444328329265:119,74|S:1444331149265:119,96:1444341009265:119,92|S:1444644289265:120,11:1444846349265:118,93|L:1444847899265:118,85:1444863769265:118,85|S:1444868519265:118,97:1444918449265:118,56|S:1444931229265:118,56:1445006589265:119,25|S:1445025749265:119,5:1445233369265:119,29|L:1445238409265:119,41:1445296929265:119,51|L:1445324919265:119,67:1445371179265:119,88|S:1445390629265:119,93:1445518009265:120|L:1445529749265:120,47:1445556809265:120,86|S:1445560919265:120,86:1445586359265:120,28|L:1445592759265:120,44:1445604359265:120,86|L:1445605479265:121,02:1445624149265:121,43|S:1445631819265:121,39:1445819889265:121,15|L:1445863059265:120,98:1445878429265:120,96|L:1445904999265:120,89:1447105529265:123,18|L:1447112229265:123,05:1447204819265:122,89|L:1447335049265:122,95:1447451939265:122,58|;
EURUSD;912;SSIStrategy;0,24;0,41;False;2;0,0154000000000001;-0,0343;0,5;0,5;0,5;-0,0343;0,0497000000000001;0,00770000000000004;0;0;0,042;41825;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,24|thresholdClose:0,41|followTrend:False;L:1445548059265:1,1107:1447283889265:1,0764|S:1444168749265:1,1269:1447451939265:1,0772|;
USDJPY;912;SSIStrategy;0,39;0,09;True;2;-1,69;-1,69;0,5;0,5;0;-2,09;0,400000000000006;-0,844999999999999;0;0;1,245;10011;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,39|thresholdClose:0,09|followTrend:True;L:1444953819265:119,08:1445009009265:119,48|S:1446077189265:120,91:1447223429265:123|;
USDJPY;912;SSIStrategy;0,45;0,35;False;0;0;0;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,45|thresholdClose:0,35|followTrend:False;;
USDJPY;912;SSIStrategy;0,16;0,43;True;2;-3,22;-3,22;0,5;0,5;0,5;-3,84;0,620000000000005;-1,61;0;0;2,23;37405;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,16|thresholdClose:0,43|followTrend:True;L:1444194939265:120,1:1446080399265:120,72|S:1444848699265:118,82:1447451939265:122,66|;
USDJPY;912;SSIStrategy;0,24;0,29;False;11510;-26,6299999999966;-26,6299999999966;1;0,005125977410947;0,25;-0,0108447332421329;0,0861016949152544;-0,00892725444183594;0,227797240717449;0,012839287412572;0,0370155814932924;1;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,24|thresholdClose:0,29|followTrend:False;More than 1000;
EURUSD;912;SSIStrategy;0,5;0,29;False;1;0,0393000000000001;0;0;1;1;n. def.;0,0393000000000001;0,0393000000000001;0;n. def.;0;11659;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,5|thresholdClose:0,29|followTrend:False;S:1444850369265:1,1486:1445549909265:1,1093|;
USDJPY;912;SSIStrategy;0,21;0,37;True;2;-2,28999999999999;-2,28999999999999;0,5;0,5;0,5;-3,23999999999999;0,950000000000003;-1,145;0;0;2,095;33978;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,21|thresholdClose:0,37|followTrend:True;L:1444202639265:119,99:1446076989265:120,94|S:1445248829265:119,42:1447451939265:122,66|;
EURUSD;912;SSIStrategy;0,29;0,49;False;1;-0,0326;-0,0326;1;0;0;-0,0326;n. def.;-0,0326;n. def.;0;0;31700;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,29|thresholdClose:0,49|followTrend:False;L:1445549909265:1,1093:1447451939265:1,0767|;
GBPUSD;912;SSIStrategy;0,37;0,45;False;1302;-0,11320000000001;-0,12680000000001;0,999231950844854;0,00384024577572965;0,25;-0,000137257019438455;0,00277999999999996;-0,000121589688506992;0,00347413298536481;0,000343505987934165;0,000477119948192792;62;pair:GBPUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,37|thresholdClose:0,45|followTrend:False;More than 1000;
USDJPY;912;SSIStrategy;0,1;0,38;False;1519;-0,869999999999337;-2,68999999999933;1;0,010533245556287;0,333333333333333;-0,0119113573407184;0,214375000000001;-0,00230769230769055;0,535980045687335;0,0347201380664639;0,124206684807654;33;pair:USDJPY|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,1|thresholdClose:0,38|followTrend:False;More than 1000;
USDCHF;912;SSIStrategy;0,14;0,09;False;17;-0,0213;-0,0314000000000001;0,529411764705882;0,352941176470588;0,25;-0,00501818181818181;0,00564999999999999;-0,00125294117647059;0,00725367722836722;0,00539137664690202;0,00796049936706299;2745;pair:USDCHF|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,14|thresholdClose:0,09|followTrend:False;L:1444201779265:0,9683:1444896259265:0,9502|S:1444913769265:0,9537:1444919779265:0,9526|L:1444920039265:0,9528:1444959019265:0,9514|S:1444977449265:0,9519:1445250329265:0,9578|L:1445259089265:0,9553:1445327779265:0,954|S:1445330839265:0,952:1445419489265:0,9578|L:1445419609265:0,9583:1445622369265:0,9799|S:1445859459265:0,9808:1446073029265:0,9936|S:1446086939265:0,9936:1446127279265:0,9897|L:1446127899265:0,9913:1446712279265:0,9958|L:1446817039265:1,0043:1447108859265:1,0036|S:1447111289265:1,0034:1447171999265:1,0065|L:1447191029265:1,0062:1447316599265:1,0056|L:1447321009265:1,0036:1447341519265:1,0028|S:1447357969265:1,0019:1447362339265:1,0003|L:1447363509265:0,9998:1447377039265:1,001|S:1447379129265:1,0016:1447451939265:1,0063|;
EURUSD;912;SSIStrategy;0,21;0,19;False;6;0,0255000000000001;0;0,333333333333333;0,5;0,5;-0,0059666666666666;0,0144666666666666;0,00425000000000001;0,00969547431651598;0,00108730042868665;0,012327712683219;8573;pair:EURUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,21|thresholdClose:0,19|followTrend:False;S:1444168749265:1,1269:1445544049265:1,1109|L:1445544789265:1,1109:1445874359265:1,1046|S:1446055599265:1,0975:1447024429265:1,072|S:1447038409265:1,0769:1447105109265:1,075|L:1447105959265:1,0748:1447160639265:1,0703|S:1447160699265:1,0701:1447451939265:1,0772|;
GBPUSD;912;SSIStrategy;0,38;0,27;False;3;-0,0553999999999999;-0,0553999999999999;0,333333333333333;0;0;-0,0184666666666666;n. def.;-0,0184666666666666;n. def.;0,00415237549147743;0,00415237549147743;13838;pair:GBPUSD|timeframe:912|strategy:SSIStrategy|thresholdOpen:0,38|thresholdClose:0,27|followTrend:False;S:1444790109265:1,5274:1445460259265:1,5419|L:1445629069265:1,5313:1447037159265:1,5071|S:1447039329265:1,5074:1447451939265:1,5241|;
