Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hittimeout;hittp;hitsl;
-0,0203999999999996;EURUSD;744;SSIStochStrategy;0,1;0,13;120;840;0,16;170;-0,00339999999999963;-0,0121999999999995;0,5;0,552941176470588;-1,99999999999978E-05;-0,000109677419354827;5,48387096774194;0,538461538461538;161;78;63;29;
-0,0461000000000023;EURUSD;744;SSIStochStrategy;0,3;0,11;60;60;0,14;466;0,000499999999997724;-0,0195000000000025;0,534334763948498;0,467811158798283;1,07296137338567E-06;1,61290322579911E-05;15,0322580645161;0,416666666666667;81;386;12;68;
-0,0383999999999988;EURUSD;744;SSIStochStrategy;0,06;0,14;150;780;0,05;295;-0,0088999999999988;-0,00979999999999914;0,528813559322034;0,474576271186441;-3,01694915254197E-05;-0,00028709677419351;9,51612903225806;0,461538461538462;57;16;130;149;
-0,0688000000000002;EURUSD;744;SSIStochStrategy;0,2;0,1;90;60;0,14;359;-0,0329000000000002;-0,0573000000000012;0,50974930362117;0,420612813370474;-9,16434540389976E-05;-0,00106129032258065;11,5806451612903;0,333333333333333;114;242;31;86;
-0,0273000000000015;EURUSD;744;SSIStochStrategy;0,06;0,21;120;300;0,06;466;0,0192999999999985;-0,00299999999999989;0,545064377682403;0,53862660944206;4,14163090128724E-05;0,000622580645161243;15,0322580645161;0,666666666666667;40;26;238;202;
-0,0441999999999999;EURUSD;744;SSIStochStrategy;0,19;0,12;90;60;0,08;433;-0,000899999999999901;-0,035300000000001;0,535796766743649;0,401847575057737;-2,07852193995358E-06;-2,90322580645129E-05;13,9677419354839;0,5;88;204;50;179;
-0,0487000000000001;EURUSD;744;SSIStochStrategy;0,23;0,1;150;720;0,03;235;-0,0252000000000001;-0,0259000000000005;0,480851063829787;0,221276595744681;-0,000107234042553192;-0,000812903225806455;7,58064516129032;0,384615384615385;79;41;15;179;
-0,0688999999999985;EURUSD;744;SSIStochStrategy;0,15;0,15;210;60;0,07;396;-0,0292999999999985;-0,044399999999998;0,522727272727273;0,323232323232323;-7,39898989898953E-05;-0,000945161290322534;12,7741935483871;0,416666666666667;87;40;101;254;
-0,195700000000007;EURUSD;744;SSIStochStrategy;0,04;0,12;180;60;0,02;1498;-0,0459000000000072;-0,0566000000000075;0,514686248331108;0,363150867823765;-3,0640854472635E-05;-0,00148064516129055;48,3225806451613;0,166666666666667;11;0;543;955;
-0,0238;EURUSD;744;SSIStochStrategy;0,31;0,11;120;360;0,04;275;0,00370000000000004;-0,00950000000000117;0,530909090909091;0,290909090909091;1,34545454545456E-05;0,000119354838709679;8,87096774193548;0,416666666666667;82;73;17;185;
-0,0262999999999975;EURUSD;744;SSIStochStrategy;0,3;0,09;180;240;0,3;153;-0,0109999999999975;-0,0116999999999976;0,535947712418301;0,516339869281046;-7,18954248365847E-05;-0,000354838709677337;4,93548387096774;0,75;248;115;18;20;
