Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;hittimeout;hittp;hitsl;
-0,0688999999999982;GBPUSD;744;SSIStochStrategy;0,28;0,15;90;480;0,02;320;-0,0368999999999982;-0,0368999999999982;0,54375;0,19375;-0,000115312499999994;-0,0011903225806451;10,3225806451613;0,230769230769231;34;69;6;245;
-0,0427000000000027;GBPUSD;744;SSIStochStrategy;0,21;0,21;90;180;0,25;252;-0,0175000000000027;-0,0262000000000022;0,507936507936508;0,484126984126984;-6,94444444444553E-05;-0,000564516129032346;8,12903225806452;0,333333333333333;129;231;10;11;
-0,0902999999999991;GBPUSD;744;SSIStochStrategy;0,17;0,11;30;180;0,29;515;-0,0387999999999991;-0,038899999999999;0,516504854368932;0,429126213592233;-7,53398058252409E-05;-0,00125161290322578;16,6129032258065;0,307692307692308;40;498;12;5;
-0,0249999999999992;GBPUSD;744;SSIStochStrategy;0,29;0,17;180;600;0,16;116;-0,0133999999999992;-0,0285999999999991;0,491379310344828;0,431034482758621;-0,000115517241379303;-0,000432258064516103;3,74193548387097;0,5;153;81;8;27;
-0,0187000000000003;GBPUSD;744;SSIStochStrategy;0,23;0,21;150;1020;0,08;113;-0,0074000000000003;-0,0210000000000004;0,433628318584071;0,424778761061947;-6,54867256637194E-05;-0,000238709677419364;3,64516129032258;0,25;161;64;6;42;
-0,0285000000000008;GBPUSD;744;SSIStochStrategy;0,22;0,14;90;900;0,27;137;-0,0148000000000008;-0,0218000000000007;0,503649635036496;0,45985401459854;-0,000108029197080298;-0,000477419354838736;4,41935483870968;0,538461538461538;128;119;10;7;
-0,0677999999999986;GBPUSD;744;SSIStochStrategy;0,31;0,1;60;180;0,28;326;-0,0351999999999986;-0,0351999999999986;0,506134969325153;0,45398773006135;-0,000107975460122695;-0,0011354838709677;10,5161290322581;0,416666666666667;84;315;3;8;
-0,0215999999999987;GBPUSD;744;SSIStochStrategy;0,12;0,13;210;1080;0,25;95;-0,0120999999999987;-0,0260999999999989;0,452631578947368;0,484210526315789;-0,000127368421052618;-0,000390322580645118;3,06451612903226;0,384615384615385;238;52;30;12;
-0,0272999999999996;GBPUSD;744;SSIStochStrategy;0,23;0,21;60;1020;0,02;198;-0,00749999999999962;-0,0139999999999996;0,434343434343434;0,277777777777778;-3,78787878787859E-05;-0,000241935483870955;6,38709677419355;0,333333333333333;31;64;3;130;
-0,080500000000002;GBPUSD;744;SSIStochStrategy;0,14;0,17;180;240;0,06;257;-0,054800000000002;-0,0656000000000019;0,517509727626459;0,295719844357977;-0,000213229571984443;-0,00176774193548393;8,29032258064516;0,166666666666667;88;51;48;158;
