Score;Pair;Time;Strategy;Threshold Open;Threshold Close;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;holdtime/positions;
-21,3165999999991;USDJPY;744;SSIStrategy;0,1;0,1;5866;-20,7299999999991;-20,7299999999991;0,999829526082509;0,000681895669962496;-0,00353392430958047;-0,668709677419324;189,225806451613;0;7;
-5,23090000000002;USDJPY;744;SSIStrategy;0,2;0,1;9;-5,23000000000002;-5,23000000000002;0,555555555555556;0,111111111111111;-0,581111111111113;-0,168709677419355;0,290322580645161;0,142857142857143;3105;
-4,29019999999999;USDJPY;744;SSIStrategy;0,2;0,2;2;-4,28999999999999;-4,28999999999999;0,5;0;-2,145;-0,138387096774193;0,0645161290322581;0;22037;
-10,6500999999996;USDJPY;744;SSIStrategy;0,1;0,2;2401;-10,4099999999996;-10,4099999999996;0,999583506872137;0,0137442732194919;-0,00433569346105774;-0,335806451612891;77,4516129032258;0,142857142857143;26;
-70,7011999999963;USDJPY;744;SSIStrategy;-0,2;-0,1;False;21212;-68,5799999999963;-68,5799999999963;0,62511785781633;0,0249387139355082;-0,00323307561757478;-2,21225806451601;684,258064516129;0;1;
-44,2333999999969;USDJPY;744;SSIStrategy;-0,1;-0,1;False;12134;-43,0199999999969;-43,0199999999969;0,5;0,0101368056700181;-0,00354540959287926;-1,38774193548377;391,41935483871;0;2;
-74,6871999999955;USDJPY;744;SSIStrategy;-0,2;-0,2;False;23472;-72,3399999999955;-72,3399999999955;0,5;0,00506987048398091;-0,00308197000681644;-2,33354838709663;757,161290322581;0;0;
-58,8002999999959;USDJPY;744;SSIStrategy;-0,1;-0,2;False;17803;-57,0199999999959;-57,0199999999959;0,455428860304443;0,0701567151603662;-0,00320283098354187;-1,83935483870955;574,290322580645;0;0;
-126,136099999992;USDJPY;744;SSIStrategy;0,2;0,1;False;39661;-122,169999999992;-122,169999999992;0,693477219434709;0,00463931822193086;-0,00308035601724596;-3,94096774193522;1279,38709677419;0;0;
-73,9013999999944;USDJPY;744;SSIStrategy;0,1;0,1;False;24314;-71,4699999999944;-73,2099999999945;0,5;0,0076499136300074;-0,00293945874804616;-2,30548387096756;784,322580645161;0,166666666666667;0;
-111,301799999993;USDJPY;744;SSIStrategy;0,1;0,2;False;35618;-107,739999999993;-107,739999999993;0,544893031613229;0,00449211073052951;-0,0030248750631701;-3,47548387096751;1148,96774193548;0;0;
-145,52219999998;USDJPY;744;SSIStrategy;0,2;0,2;False;46922;-140,82999999998;-140,82999999998;0,5;0,00364434593580836;-0,00300136396572993;-4,5429032258058;1513,61290322581;0;0;
-5,08110000000008;USDJPY;744;SSIStrategy;0,05;0,28;True;611;-5,02000000000008;-5,02000000000008;0,998363338788871;0,0147299509001637;-0,0082160392798692;-0,16193548387097;19,7096774193548;0,25;117;
-2,07059999999914;USDJPY;744;SSIStrategy;0,07;0,25;False;2706;-1,79999999999914;-3,43999999999926;1;0,0133037694013304;-0,000665188470066203;-0,0580645161290047;87,2903225806452;0,75;11;
