Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hitsl;hittp;hitto
0,0193;EURUSD;168;FastMovement-Strategy;150;22;0,21;0,25;0,33;TRUE;9;0,0202;-0,0002;0,111111111;0,888888889;0,002244444;0,002885714;1,285714286;102;0;5;4
0,0173;EURUSD;168;FastMovement-Strategy;190;28;0,23;0,34;0,29;TRUE;6;0,0179;-0,0005;0;0,666666667;0,002983333;0,002557143;0,857142857;147;0;3;3
0,016;EURUSD;168;FastMovement-Strategy;160;21;0,23;0,22;0,38;TRUE;7;0,0167;-1,00E-04;0;0,714285714;0,002385714;0,002385714;1;100;0;4;3
0,0159;EURUSD;168;FastMovement-Strategy;140;24;0,21;0,25;0,3;TRUE;9;0,0168;-0,0021;0;0,666666667;0,001866667;0,0024;1,285714286;111;0;3;6
0,0155;EURUSD;168;FastMovement-Strategy;70;21;0,11;0,41;0,35;TRUE;40;0,0195;-0,0005;0,425;0,525;0,0004875;0,002785714;5,714285714;69;1;2;36
0,0154;EURUSD;168;FastMovement-Strategy;130;20;0,23;0,22;0,31;TRUE;7;0,0161;0,0003;0;0,714285714;0,0023;0,0023;1;84;0;4;3
0,0153;EURUSD;168;FastMovement-Strategy;190;10;0,09;0,02;0,39;TRUE;59;0,0212;0,0003;0,406779661;0,881355932;0,000359322;0,003028571;8,428571429;44;0;52;7
0,0152;EURUSD;168;FastMovement-Strategy;150;27;0,28;0,22;0,16;TRUE;4;0,0156;0;0;0,75;0,0039;0,002228571;0,571428571;94;0;3;1
0,0146;EURUSD;168;FastMovement-Strategy;150;20;0,24;0,34;0,08;TRUE;5;0,0151;-0,0002;0;0,6;0,00302;0,002157143;0,714285714;87;1;2;2
0,0144;EURUSD;168;FastMovement-Strategy;130;25;0,29;0,37;0,04;TRUE;4;0,0148;0,007;0;0,75;0,0037;0,002114286;0,571428571;66;1;2;1
0,0144;EURUSD;168;FastMovement-Strategy;120;20;0,25;0,39;0,07;TRUE;5;0,0149;0,0004;0;0,8;0,00298;0,002128571;0,714285714;75;1;2;2
0,0141;EURUSD;168;FastMovement-Strategy;170;22;0,23;0,37;0,3;TRUE;6;0,0147;-0,0008;0;0,666666667;0,00245;0,0021;0,857142857;114;0;3;3
0,0141;EURUSD;168;FastMovement-Strategy;100;21;0,24;0,19;0,17;TRUE;7;0,0148;0;0;0,714285714;0,002114286;0,002114286;1;60;1;3;3
0,0139;EURUSD;168;FastMovement-Strategy;70;18;0,25;0,2;0,15;TRUE;6;0,0145;0,0004;0;0,833333333;0,002416667;0,002071429;0,857142857;40;0;4;2
0,0139;EURUSD;168;FastMovement-Strategy;180;26;0,25;0,39;0,22;TRUE;5;0,0144;-0,0008;0;0,6;0,00288;0,002057143;0,714285714;113;1;3;1
0,0139;EURUSD;168;FastMovement-Strategy;160;20;0,2;0,04;0,34;TRUE;13;0,0152;0,0017;0,230769231;0,846153846;0,001169231;0,002171429;1,857142857;63;0;11;2
0,0136;EURUSD;168;FastMovement-Strategy;180;21;0,26;0,24;0,36;TRUE;5;0,0141;-0,0008;0;0,8;0,00282;0,002014286;0,714285714;115;0;3;2
0,0136;EURUSD;168;FastMovement-Strategy;130;24;0,2;0,27;0,24;TRUE;14;0,015;-0,0041;0,142857143;0,642857143;0,001071429;0,002142857;2;104;1;4;9
0,0135;EURUSD;168;FastMovement-Strategy;80;27;0,31;0,18;0,17;TRUE;4;0,0139;0,0094;0;1;0,003475;0,001985714;0,571428571;43;0;3;1
0,0135;EURUSD;168;FastMovement-Strategy;160;23;0,21;0,13;0,27;TRUE;12;0,0147;0,0022;0;0,75;0,001225;0,0021;1,714285714;68;2;8;2
0,0134;EURUSD;168;FastMovement-Strategy;100;21;0,25;0,17;0,02;TRUE;7;0,0141;-0,0003;0;0,571428571;0,002014286;0,002014286;1;15;3;4;0
0,0133;EURUSD;168;FastMovement-Strategy;190;15;0,33;0,4;0,13;TRUE;3;0,0136;0,0046;0;1;0,004533333;0,001942857;0,428571429;133;0;3;0
0,0131;EURUSD;168;FastMovement-Strategy;180;14;0,27;0,41;0,32;TRUE;3;0,0134;0,0046;0;1;0,004466667;0,001914286;0,428571429;134;0;1;2
0,0131;EURUSD;168;FastMovement-Strategy;100;26;0,28;0,22;0,25;TRUE;4;0,0135;-0,0003;0;0,75;0,003375;0,001928571;0,571428571;50;0;3;1
0,013;EURUSD;168;FastMovement-Strategy;160;20;0,2;0,25;0,4;TRUE;12;0,0142;0,003;0,25;0,583333333;0,001183333;0,002028571;1,714285714;120;0;4;8
0,0129;EURUSD;168;FastMovement-Strategy;70;27;0,3;0,07;0,22;TRUE;4;0,0133;0,0094;0;1;0,003325;0,0019;0,571428571;24;0;4;0
0,0128;EURUSD;168;FastMovement-Strategy;190;16;0,3;0,38;0,16;TRUE;3;0,0131;0,0046;0;1;0,004366667;0,001871429;0,428571429;130;0;3;0
0,0128;EURUSD;168;FastMovement-Strategy;180;28;0,36;0,35;0,05;TRUE;3;0,0131;0,0048;0;1;0,004366667;0,001871429;0,428571429;101;0;3;0
0,0127;EURUSD;168;FastMovement-Strategy;110;4;0,16;0,13;0,27;TRUE;7;0,0134;0,0017;0;1;0,001914286;0,001914286;1;13;0;7;0
0,0127;EURUSD;168;FastMovement-Strategy;190;17;0,25;0,19;0,27;TRUE;6;0,0133;-0,0004;0;0,833333333;0,002216667;0,0019;0,857142857;99;0;4;2
0,0127;EURUSD;168;FastMovement-Strategy;60;3;0,15;0,27;0,26;TRUE;3;0,013;0,0043;0;1;0,004333333;0,001857143;0,428571429;11;0;3;0
0,0127;EURUSD;168;FastMovement-Strategy;150;25;0,28;0,16;0,18;TRUE;4;0,0131;0,0075;0;1;0,003275;0,001871429;0,571428571;54;0;4;0
0,0126;EURUSD;168;FastMovement-Strategy;150;5;0,17;0,19;0,35;TRUE;8;0,0134;0,0003;0;0,875;0,001675;0,001914286;1,142857143;81;0;4;4
0,0126;EURUSD;168;FastMovement-Strategy;130;16;0,12;0,33;0,04;TRUE;40;0,0166;-0,0005;0,5;0,325;0,000415;0,002371429;5,714285714;44;27;5;8
0,0125;EURUSD;168;FastMovement-Strategy;140;22;0,23;0,38;0,08;TRUE;7;0,0132;0;0;0,428571429;0,001885714;0,001885714;1;49;3;3;1
0,0125;EURUSD;168;FastMovement-Strategy;130;23;0,25;0,19;0,1;TRUE;7;0,0132;0,0006;0;0,714285714;0,001885714;0,001885714;1;40;2;4;1
0,0124;EURUSD;168;FastMovement-Strategy;180;20;0,28;0,17;0,32;TRUE;5;0,0129;-0,0008;0;0,8;0,00258;0,001842857;0,714285714;88;0;3;2
0,0124;EURUSD;168;FastMovement-Strategy;120;27;0,23;0,26;0,38;TRUE;7;0,0131;0,0004;0;0,714285714;0,001871429;0,001871429;1;98;0;2;5
0,0123;EURUSD;168;FastMovement-Strategy;80;4;0,15;0,28;0,4;TRUE;7;0,013;0,0011;0;0,714285714;0,001857143;0,001857143;1;45;0;4;3
0,0123;EURUSD;168;FastMovement-Strategy;60;26;0,29;0,29;0,01;TRUE;4;0,0127;-0,0003;0;0,75;0,003175;0,001814286;0,571428571;36;1;2;1
0,0123;EURUSD;168;FastMovement-Strategy;160;29;0,35;0,35;0,12;TRUE;3;0,0126;0,0042;0;1;0,0042;0,0018;0,428571429;101;0;2;1
0,0123;EURUSD;168;FastMovement-Strategy;160;25;0,29;0,22;0,33;TRUE;3;0,0126;0,0075;0;1;0,0042;0,0018;0,428571429;32;0;3;0
0,0123;EURUSD;168;FastMovement-Strategy;70;25;0,28;0,2;0,27;TRUE;3;0,0126;0,0075;0;1;0,0042;0,0018;0,428571429;32;0;3;0
0,0123;EURUSD;168;FastMovement-Strategy;80;5;0,18;0,34;0,29;TRUE;6;0,0129;0,0011;0;0,833333333;0,00215;0,001842857;0,857142857;46;0;3;3
0,0122;EURUSD;168;FastMovement-Strategy;100;27;0,28;0,08;0,08;TRUE;4;0,0126;-1,00E-04;0;0,75;0,00315;0,0018;0,571428571;48;0;3;1
0,0122;EURUSD;168;FastMovement-Strategy;180;29;0,38;0,37;0,27;TRUE;3;0,0125;0,0042;0;1;0,004166667;0,001785714;0,428571429;126;0;3;0
0,0121;EURUSD;168;FastMovement-Strategy;50;4;0,17;0,27;0,25;TRUE;3;0,0124;0,0037;0;1;0,004133333;0,001771429;0,428571429;12;0;3;0
0,0121;EURUSD;168;FastMovement-Strategy;100;11;0,12;0,4;0,12;FALSE;31;0,0152;-0,0056;0,612903226;0,548387097;0,000490323;0,002171429;4,428571429;77;10;2;19
0,012;EURUSD;168;FastMovement-Strategy;140;17;0,22;0,34;0,37;TRUE;9;0,0129;0,0006;0,111111111;0,666666667;0,001433333;0,001842857;1,285714286;109;0;3;6
0,012;EURUSD;168;FastMovement-Strategy;150;23;0,23;0,04;0,31;TRUE;7;0,0127;0,0008;0;1;0,001814286;0,001814286;1;50;0;6;1
0,012;EURUSD;168;FastMovement-Strategy;130;10;0,23;0,31;0,04;TRUE;6;0,0126;0,0035;0;0,666666667;0,0021;0,0018;0,857142857;34;2;3;1
0,012;EURUSD;168;FastMovement-Strategy;190;24;0,3;0,12;0,14;TRUE;4;0,0124;0,0077;0;1;0,0031;0,001771429;0,571428571;46;0;4;0
0,012;EURUSD;168;FastMovement-Strategy;140;28;0,27;0,09;0,38;TRUE;4;0,0124;-0,0003;0;0,75;0,0031;0,001771429;0,571428571;59;0;3;1
0,012;EURUSD;168;FastMovement-Strategy;100;23;0,25;0,26;0,06;TRUE;6;0,0126;1,00E-04;0;0,666666667;0,0021;0,0018;0,857142857;35;2;3;1
0,0119;EURUSD;168;FastMovement-Strategy;140;28;0,32;0,33;0,3;TRUE;3;0,0122;0,0048;0;1;0,004066667;0,001742857;0,428571429;89;0;3;0
0,0119;EURUSD;168;FastMovement-Strategy;90;20;0,26;0,33;0,39;TRUE;5;0,0124;-1,00E-04;0;0,8;0,00248;0,001771429;0,714285714;79;0;1;4
0,0119;EURUSD;168;FastMovement-Strategy;90;26;0,31;0,18;0,17;TRUE;3;0,0122;0,0075;0;1;0,004066667;0,001742857;0,428571429;32;0;3;0
0,0118;EURUSD;168;FastMovement-Strategy;180;24;0,44;0,33;0,24;TRUE;3;0,0121;0,0045;0;1;0,004033333;0,001728571;0,428571429;123;0;3;0
0,0118;EURUSD;168;FastMovement-Strategy;60;21;0,26;0,07;0,31;TRUE;5;0,0123;0,0008;0;0,8;0,00246;0,001757143;0,714285714;33;0;4;1
0,0117;EURUSD;168;FastMovement-Strategy;120;22;0,24;0,09;0,17;TRUE;7;0,0124;0,0004;0;0,857142857;0,001771429;0,001771429;1;48;1;5;1
0,0117;EURUSD;168;FastMovement-Strategy;130;23;0,31;0,36;0,2;TRUE;3;0,012;0,0046;0;1;0,004;0,001714286;0,428571429;89;0;2;1
0,0117;EURUSD;168;FastMovement-Strategy;140;20;0,29;0,31;0,41;TRUE;3;0,012;0,008;0;1;0,004;0,001714286;0,428571429;89;0;2;1
0,0117;EURUSD;168;FastMovement-Strategy;50;29;0,26;0,18;0,09;TRUE;6;0,0123;0,0002;0;0,666666667;0,00205;0,001757143;0,857142857;30;2;3;1
0,0116;EURUSD;168;FastMovement-Strategy;150;28;0,22;0,3;0,14;TRUE;11;0,0127;-0,0035;0,090909091;0,454545455;0,001154545;0,001814286;1,571428571;94;5;1;5
0,0116;EURUSD;168;FastMovement-Strategy;120;26;0,26;0,29;0,33;TRUE;5;0,0121;0,0004;0;0,8;0,00242;0,001728571;0,714285714;76;1;3;1
0,0116;EURUSD;168;FastMovement-Strategy;40;27;0,28;0,41;0,01;TRUE;4;0,012;-0,0002;0;0,5;0,003;0,001714286;0,571428571;24;2;0;2
0,0116;EURUSD;168;FastMovement-Strategy;190;22;0,26;0,3;0,06;TRUE;6;0,0122;-0,001;0;0,5;0,002033333;0,001742857;0,857142857;59;3;3;0
0,0116;EURUSD;168;FastMovement-Strategy;130;20;0,26;0,14;0,29;TRUE;5;0,0121;0,0003;0;0,8;0,00242;0,001728571;0,714285714;68;0;3;2
0,0115;EURUSD;168;FastMovement-Strategy;160;23;0,33;0,34;0,19;TRUE;3;0,0118;0,0039;0;1;0,003933333;0,001685714;0,428571429;100;0;3;0
0,0115;EURUSD;168;FastMovement-Strategy;100;4;0,18;0,27;0,24;TRUE;3;0,0118;0,0037;0;1;0,003933333;0,001685714;0,428571429;11;0;3;0
0,0115;EURUSD;168;FastMovement-Strategy;190;29;0,31;0,34;0,25;TRUE;3;0,0118;0,0042;0;1;0,003933333;0,001685714;0,428571429;90;0;3;0
0,0114;EURUSD;168;FastMovement-Strategy;60;29;0,1;0,1;0,07;TRUE;65;0,0179;-0,0008;0,430769231;0,430769231;0,000275385;0,002557143;9,285714286;37;28;19;17
0,0114;EURUSD;168;FastMovement-Strategy;160;13;0,24;0,36;0,13;TRUE;5;0,0119;-1,00E-04;0;0,6;0,00238;0,0017;0,714285714;71;1;3;1
0,0114;EURUSD;168;FastMovement-Strategy;150;18;0,25;0,03;0,18;TRUE;7;0,0121;0,0008;0;1;0,001728571;0,001728571;1;27;0;7;0
0,0114;EURUSD;168;FastMovement-Strategy;120;22;0,23;0,19;0,31;TRUE;8;0,0122;0,0004;0;0,625;0,001525;0,001742857;1,142857143;81;1;4;3
0,0114;EURUSD;168;FastMovement-Strategy;10;27;0,28;0,4;0,12;TRUE;4;0,0118;0;0;0,5;0,00295;0,001685714;0,571428571;23;0;0;4
0,0114;EURUSD;168;FastMovement-Strategy;120;27;0,27;0,16;0,15;TRUE;5;0,0119;0,0002;0;0,8;0,00238;0,0017;0,714285714;72;1;2;2
0,0114;EURUSD;168;FastMovement-Strategy;140;19;0,14;0,17;0,12;TRUE;26;0,014;-0,0019;0,346153846;0,576923077;0,000538462;0,002;3,714285714;69;11;9;6
0,0113;EURUSD;168;FastMovement-Strategy;150;13;0,35;0,31;0,26;TRUE;3;0,0116;0,0045;0;1;0,003866667;0,001657143;0,428571429;89;0;3;0
0,0113;EURUSD;168;FastMovement-Strategy;180;10;0,22;0,36;0,02;TRUE;5;0,0118;-0,0004;0;0,6;0,00236;0,001685714;0,714285714;29;2;3;0
0,0113;EURUSD;168;FastMovement-Strategy;130;28;0,35;0,32;0,25;TRUE;3;0,0116;0,0048;0;1;0,003866667;0,001657143;0,428571429;88;0;2;1
0,0112;EURUSD;168;FastMovement-Strategy;190;27;0,43;0,37;0,33;TRUE;3;0,0115;0,0045;0;1;0,003833333;0,001642857;0,428571429;132;0;2;1
0,0112;EURUSD;168;FastMovement-Strategy;100;15;0,27;0,26;0,29;TRUE;4;0,0116;0,0044;0;1;0,0029;0,001657143;0,571428571;45;0;3;1
0,0111;EURUSD;168;FastMovement-Strategy;160;16;0,29;0,34;0,12;TRUE;3;0,0114;0,0041;0;1;0,0038;0,001628571;0,428571429;95;0;2;1
0,0111;EURUSD;168;FastMovement-Strategy;160;26;0,26;0,21;0,18;TRUE;5;0,0116;-1,00E-04;0;0,6;0,00232;0,001657143;0,714285714;62;1;3;1
0,0111;EURUSD;168;FastMovement-Strategy;170;21;0,2;0,29;0,33;TRUE;12;0,0123;-0,0012;0,25;0,583333333;0,001025;0,001757143;1,714285714;120;2;4;6
0,0111;EURUSD;168;FastMovement-Strategy;100;24;0,25;0,4;0,27;TRUE;6;0,0117;1,00E-04;0;0,666666667;0,00195;0,001671429;0,857142857;87;1;1;4
0,0111;EURUSD;168;FastMovement-Strategy;130;21;0,25;0,26;0,24;TRUE;7;0,0118;0,0003;0;0,714285714;0,001685714;0,001685714;1;81;1;3;3
0,0111;EURUSD;168;FastMovement-Strategy;20;27;0,27;0,07;0,31;TRUE;5;0,0116;0;0;0,6;0,00232;0,001657143;0,714285714;27;0;0;5
0,011;EURUSD;168;FastMovement-Strategy;150;18;0,22;0,12;0,32;TRUE;8;0,0118;1,00E-04;0,125;0,875;0,001475;0,001685714;1,142857143;87;0;4;4
0,011;EURUSD;168;FastMovement-Strategy;120;20;0,25;0,11;0,03;TRUE;5;0,0115;-0,0004;0;0,6;0,0023;0,001642857;0,714285714;18;2;3;0
0,0109;EURUSD;168;FastMovement-Strategy;100;20;0,15;0,34;0,04;TRUE;29;0,0138;-0,0007;0,379310345;0,275862069;0,000475862;0,001971429;4,142857143;35;21;4;4
0,0109;EURUSD;168;FastMovement-Strategy;130;4;0,16;0,09;0,26;TRUE;7;0,0116;0,0012;0;1;0,001657143;0,001657143;1;10;0;7;0
0,0109;EURUSD;168;FastMovement-Strategy;170;27;0,33;0,32;0,07;TRUE;3;0,0112;0,0039;0;1;0,003733333;0,0016;0,428571429;90;0;3;0
0,0109;EURUSD;168;FastMovement-Strategy;170;17;0,25;0,15;0,39;TRUE;6;0,0115;-0,0012;0;0,833333333;0,001916667;0,001642857;0,857142857;83;0;5;1
0,0109;EURUSD;168;FastMovement-Strategy;150;11;0,34;0,27;0,31;TRUE;3;0,0112;0,0045;0;1;0,003733333;0,0016;0,428571429;58;0;3;0
0,0109;EURUSD;168;FastMovement-Strategy;110;8;0,16;0,21;0,19;FALSE;16;0,0125;-0,0015;0,75;0,625;0,00078125;0,001785714;2,285714286;44;5;10;1
0,0109;EURUSD;168;FastMovement-Strategy;120;29;0,37;0,3;0,2;TRUE;3;0,0112;0,0041;0;1;0,003733333;0,0016;0,428571429;56;0;3;0
0,0109;EURUSD;168;FastMovement-Strategy;30;25;0,13;0,27;0,4;TRUE;45;0,0154;-0,001;0,444444444;0,422222222;0,000342222;0,0022;6,428571429;31;0;0;45
0,0108;EURUSD;168;FastMovement-Strategy;30;28;0,28;0,21;0,02;TRUE;4;0,0112;-0,0003;0;0,5;0,0028;0,0016;0,571428571;22;2;0;2
0,0108;EURUSD;168;FastMovement-Strategy;60;26;0,25;0,39;0,06;TRUE;5;0,0113;-0,0002;0;0,6;0,00226;0,001614286;0,714285714;45;1;1;3
0,0108;EURUSD;168;FastMovement-Strategy;110;4;0,17;0,15;0,16;TRUE;3;0,0111;0,0037;0;1;0,0037;0,001585714;0,428571429;10;0;3;0
0,0108;EURUSD;168;FastMovement-Strategy;60;3;0,13;0,35;0,23;TRUE;10;0,0118;-0,0021;0,3;0,6;0,00118;0,001685714;1,428571429;40;1;3;6
0,0108;EURUSD;168;FastMovement-Strategy;170;15;0,31;0,28;0,31;TRUE;3;0,0111;0,0044;0;1;0,0037;0,001585714;0,428571429;92;0;3;0
0,0107;EURUSD;168;FastMovement-Strategy;150;5;0,16;0,33;0,15;TRUE;10;0,0117;0,0006;0,1;0,6;0,00117;0,001671429;1,428571429;56;4;3;3
0,0107;EURUSD;168;FastMovement-Strategy;50;5;0,19;0,24;0,27;TRUE;4;0,0111;0,004;0;0,75;0,002775;0,001585714;0,571428571;21;0;3;1
0,0107;EURUSD;168;FastMovement-Strategy;60;28;0,29;0,18;0,21;TRUE;4;0,0111;0,0003;0;0,75;0,002775;0,001585714;0,571428571;51;0;2;2
0,0107;EURUSD;168;FastMovement-Strategy;180;29;0,48;0,36;0,31;TRUE;3;0,011;0,0044;0;1;0,003666667;0,001571429;0,428571429;87;0;2;1
0,0106;EURUSD;168;FastMovement-Strategy;170;24;0,46;0,28;0,28;TRUE;3;0,0109;0,0045;0;1;0,003633333;0,001557143;0,428571429;83;0;3;0
0,0106;EURUSD;168;FastMovement-Strategy;160;29;0,29;0,17;0,33;TRUE;5;0,0111;0,0042;0;1;0,00222;0,001585714;0,714285714;79;0;4;1
0,0106;EURUSD;168;FastMovement-Strategy;70;25;0,27;0,2;0,14;TRUE;5;0,0111;0,0002;0;0,8;0,00222;0,001585714;0,714285714;42;1;3;1
0,0106;EURUSD;168;FastMovement-Strategy;120;21;0,16;0,32;0,03;TRUE;29;0,0135;-0,0005;0,344827586;0,24137931;0,000465517;0,001928571;4,142857143;31;22;3;4
0,0105;EURUSD;168;FastMovement-Strategy;70;26;0,3;0,27;0,06;TRUE;4;0,0109;0,0075;0;0,75;0,002725;0,001557143;0,571428571;42;1;2;1
0,0105;EURUSD;168;FastMovement-Strategy;170;26;0,41;0,31;0,25;TRUE;3;0,0108;0,0045;0;1;0,0036;0,001542857;0,428571429;115;0;2;1
0,0105;EURUSD;168;FastMovement-Strategy;60;26;0,31;0,31;0,32;TRUE;3;0,0108;0,0075;0;1;0,0036;0,001542857;0,428571429;53;0;1;2
