Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;hitsl;hittp;hitto;
0;EURUSD;-449;FastMovement-Strategy;110;1;0,52;0,1;0,01;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;8;0,06;0,09;0,09;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;26;0,47;0,21;0,26;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;100;25;0,6;0,07;0,08;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;60;17;0,36;0,3;0,2;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;160;28;0,63;0,29;0,23;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;110;17;0,08;0,16;0,41;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;4;0,64;0,41;0,36;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;16;0,04;0,02;0,03;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;8;0,36;0,22;0,23;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;27;0,57;0,04;0,39;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;27;0,56;0,08;0,29;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;16;0,51;0,25;0,34;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;120;11;0,6;0,18;0,32;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;170;18;0,48;0,21;0,4;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;20;29;0,66;0,38;0,32;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;15;0,61;0,15;0,14;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;160;18;0,65;0,3;0,29;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;27;0,41;0,4;0,1;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;180;5;0,53;0,39;0,04;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;150;15;0,49;0,03;0,18;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;160;18;0,11;0,27;0,27;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;180;24;0,51;0,03;0,14;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;70;29;0,68;0,23;0,07;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;30;10;0,3;0,11;0,32;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;50;1;0,48;0,12;0,31;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;90;9;0,25;0,24;0,19;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;10;1;0,63;0,31;0,16;False;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;13;0,36;0,13;0,31;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
0;EURUSD;-449;FastMovement-Strategy;140;21;0,27;0,36;0,15;True;0;0;999999999;n. def.;n. def.;n. def.;0;0;n. def.;0;0;0;
