Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hittimeout;hittp;hitsl
0,0067;GBPUSD;168;SSIStochStrategy;0,09;0,21;60;120;0,04;121;0,0188;-0,0029;0,570247934;0,446280992;0,000155372;0,002685714;17,28571429;38;49;26;46
0,0065;GBPUSD;168;SSIStochStrategy;0,3;0,2;210;120;0,04;50;0,0115;-0,0049;0,58;0,34;0,00023;0,001642857;7,142857143;117;16;3;30
0,0062;GBPUSD;168;SSIStochStrategy;0,02;0,15;150;60;0,27;116;0,0178;-0,0012;0,465517241;0,801724138;0,000153448;0,002542857;16,57142857;74;21;91;3
0,0053;GBPUSD;168;SSIStochStrategy;0,13;0,21;150;1080;0,22;24;0,0077;-0,0025;0,333333333;0,583333333;0,000320833;0,0011;3,428571429;139;19;4;1
0,0048;GBPUSD;168;SSIStochStrategy;0,15;0,18;30;180;0,26;124;0,0172;0,0002;0,580645161;0,459677419;0,00013871;0,002457143;17,71428571;30;119;4;0
0,0047;GBPUSD;168;SSIStochStrategy;0,27;0,19;210;180;0,3;32;0,0079;-0,0013;0,625;0,5;0,000246875;0,001128571;4,571428571;195;28;2;1
0,0046;GBPUSD;168;SSIStochStrategy;0,5;0,06;180;20;0,37;41;0,0087;-0,0019;0,341463415;0,414634146;0,000212195;0,001242857;5,857142857;239;38;1;1
0,0046;GBPUSD;168;SSIStochStrategy;0,12;0,19;30;180;0,25;122;0,0168;0,0002;0,581967213;0,459016393;0,000137705;0,0024;17,42857143;30;114;7;0
0,0043;GBPUSD;168;SSIStochStrategy;0,16;0,18;30;180;0,16;124;0,0167;0,0002;0,580645161;0,459677419;0,000134677;0,002385714;17,71428571;30;119;3;1
0,0043;GBPUSD;168;SSIStochStrategy;0,16;0,18;30;180;0,25;124;0,0167;0,0002;0,580645161;0,459677419;0,000134677;0,002385714;17,71428571;30;120;3;0
0,0033;GBPUSD;168;SSIStochStrategy;0,08;0,21;210;1140;0,26;22;0,0055;-0,0008;0,363636364;0,545454545;0,00025;0,000785714;3,142857143;153;11;10;1
