Score;Pair;Time;Strategy;takeprofit;threshold;timeout;stochTimeframe;stoploss;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;holdtime/positions;hittimeout;hittp;hitsl
2,2138;USDJPY;168;SSIStochStrategy;0,2;0,08;120;60;0,11;62;2,22;-0,1;0,629032258;0,548387097;0,035806452;0,317142857;8,857142857;150;44;9;8
2,0777;USDJPY;168;SSIStochStrategy;0,49;0,07;210;900;0,48;23;2,08;-0,18;0,565217391;0,652173913;0,090434783;0,297142857;3,285714286;202;21;1;0
2,0668;USDJPY;168;SSIStochStrategy;0,21;0,07;210;900;0,05;32;2,07;-0,06;0,5625;0,59375;0,0646875;0,295714286;4,571428571;131;14;7;11
2,046;USDJPY;168;SSIStochStrategy;0,4;0,11;180;60;0,22;40;2,05;-0,42;0,425;0,55;0,05125;0,292857143;5,714285714;237;36;1;2
2,036;USDJPY;168;SSIStochStrategy;0,37;0,09;180;60;0,22;40;2,04;-0,42;0,425;0,55;0,051;0,291428571;5,714285714;237;36;1;2
1,9767;USDJPY;168;SSIStochStrategy;0,45;0,16;180;480;0,47;33;1,98;-0,37;0,515151515;0,606060606;0,06;0,282857143;4,714285714;175;30;2;0
1,9766;USDJPY;168;SSIStochStrategy;0,2;0,13;120;1140;0,16;34;1,98;-0,34;0,5;0,735294118;0,058235294;0,282857143;4,857142857;105;26;6;1
1,9575;USDJPY;168;SSIStochStrategy;0,29;0,08;210;840;0,24;25;1,96;-0,18;0,56;0,68;0,0784;0,28;3,571428571;193;21;3;0
1,9175;USDJPY;168;SSIStochStrategy;0,28;0,08;210;840;0,32;25;1,92;-0,18;0,56;0,68;0,0768;0,274285714;3,571428571;193;21;3;0
1,9167;USDJPY;168;SSIStochStrategy;0,29;0,13;120;1140;0,31;33;1,92;-0,32;0,515151515;0,727272727;0,058181818;0,274285714;4,714285714;115;30;2;0
1,8977;USDJPY;168;SSIStochStrategy;0,51;0,11;180;1080;0,3;23;1,9;-0,28;0,52173913;0,608695652;0,082608696;0,271428571;3,285714286;180;22;1;0
1,8975;USDJPY;168;SSIStochStrategy;0,39;0,11;210;900;0,4;25;1,9;-0,22;0,56;0,64;0,076;0,271428571;3,571428571;205;23;2;0
1,8969;USDJPY;168;SSIStochStrategy;0,31;0,08;180;540;0,1;31;1,9;-0,24;0,516129032;0,64516129;0,061290323;0,271428571;4,428571429;154;22;2;6
1,8876;USDJPY;168;SSIStochStrategy;0,41;0,11;180;1140;0,47;24;1,89;-0,28;0,5;0,583333333;0,07875;0,27;3,428571429;171;21;2;0
1,8776;USDJPY;168;SSIStochStrategy;0,37;0,1;180;1080;0,44;24;1,88;-0,28;0,5;0,625;0,078333333;0,268571429;3,428571429;173;21;2;0
1,8774;USDJPY;168;SSIStochStrategy;0,48;0,1;210;900;0,44;26;1,88;-0,36;0,538461538;0,538461538;0,072307692;0,268571429;3,714285714;201;23;2;0
1,8677;USDJPY;168;SSIStochStrategy;0,49;0,12;180;1080;0,5;23;1,87;-0,28;0,52173913;0,608695652;0,081304348;0,267142857;3,285714286;180;22;1;0
1,8676;USDJPY;168;SSIStochStrategy;0,4;0,11;180;1140;0,36;24;1,87;-0,28;0,5;0,583333333;0,077916667;0,267142857;3,428571429;170;21;2;0
1,8468;USDJPY;168;SSIStochStrategy;0,36;0,12;120;1140;0,33;32;1,85;-0,35;0,53125;0,6875;0,0578125;0,264285714;4,571428571;116;29;2;0
1,8461;USDJPY;168;SSIStochStrategy;0,41;0,1;150;660;0,07;39;1,85;-0,21;0,487179487;0,487179487;0,047435897;0,264285714;5,571428571;120;24;2;12
1,8376;USDJPY;168;SSIStochStrategy;0,38;0,1;180;1140;0,31;24;1,84;-0,28;0,5;0,583333333;0,076666667;0,262857143;3,428571429;171;21;2;0
1,8374;USDJPY;168;SSIStochStrategy;0,46;0,1;210;900;0,34;26;1,84;-0,36;0,538461538;0,538461538;0,070769231;0,262857143;3,714285714;201;23;2;0
1,8177;USDJPY;168;SSIStochStrategy;0,36;0,11;210;1020;0,35;23;1,82;-0,12;0,52173913;0,695652174;0,079130435;0,26;3,285714286;316;21;2;0
1,8076;USDJPY;168;SSIStochStrategy;0,34;0,13;180;1140;0,3;24;1,81;-0,29;0,5;0,583333333;0,075416667;0,258571429;3,428571429;170;20;3;0
1,8039;USDJPY;168;SSIStochStrategy;0,22;0,16;90;420;0,09;61;1,81;-0,25;0,508196721;0,606557377;0,029672131;0,258571429;8,714285714;78;44;5;12
1,7975;USDJPY;168;SSIStochStrategy;0,51;0,08;210;720;0,51;25;1,8;-0,25;0,52;0,64;0,072;0,257142857;3,571428571;203;24;0;0
1,7941;USDJPY;168;SSIStochStrategy;0,38;0,12;150;360;0,03;59;1,8;-0,16;0,491525424;0,372881356;0,030508475;0,257142857;8,428571429;82;23;2;34
1,7877;USDJPY;168;SSIStochStrategy;0,12;0,07;210;960;0,5;23;1,79;-0,16;0,565217391;0,782608696;0,077826087;0,255714286;3,285714286;157;12;10;0
1,7876;USDJPY;168;SSIStochStrategy;0,36;0,1;180;1140;0,48;24;1,79;-0,28;0,5;0,583333333;0,074583333;0,255714286;3,428571429;171;21;2;0
1,7767;USDJPY;168;SSIStochStrategy;0,38;0,11;150;1020;0,07;33;1,78;-0,17;0,484848485;0,575757576;0,053939394;0,254285714;4,714285714;199;20;2;10
1,7762;USDJPY;168;SSIStochStrategy;0,48;0,19;180;120;0,36;38;1,78;-0,47;0,605263158;0,5;0,046842105;0,254285714;5,428571429;246;36;1;0
1,7674;USDJPY;168;SSIStochStrategy;0,45;0,15;210;900;0,29;26;1,77;-0,38;0,576923077;0,576923077;0,068076923;0,252857143;3,714285714;208;24;2;0
1,7669;USDJPY;168;SSIStochStrategy;0,46;0,11;120;1140;0,5;31;1,77;-0,35;0,548387097;0,677419355;0,057096774;0,252857143;4,428571429;118;30;0;0
1,7669;USDJPY;168;SSIStochStrategy;0,43;0,11;120;1140;0,2;31;1,77;-0,35;0,548387097;0,677419355;0,057096774;0,252857143;4,428571429;118;30;0;0
1,7576;USDJPY;168;SSIStochStrategy;0,33;0,13;180;1140;0,39;24;1,76;-0,29;0,5;0,583333333;0,073333333;0,251428571;3,428571429;169;20;3;0
1,7476;USDJPY;168;SSIStochStrategy;0,49;0,1;180;1080;0,27;24;1,75;-0,28;0,5;0,625;0,072916667;0,25;3,428571429;174;23;0;0
1,7375;USDJPY;168;SSIStochStrategy;0,49;0,15;210;1080;0,26;25;1,74;-0,19;0,44;0,6;0,0696;0,248571429;3,571428571;307;23;1;0
1,7342;USDJPY;168;SSIStochStrategy;0,45;0,13;90;420;0,09;58;1,74;-0,26;0,5;0,620689655;0,03;0,248571429;8,285714286;81;48;0;10
1,7275;USDJPY;168;SSIStochStrategy;0,41;0,08;210;780;0,25;25;1,73;-0,3;0,52;0,64;0,0692;0,247142857;3,571428571;202;23;1;0
1,7175;USDJPY;168;SSIStochStrategy;0,48;0,07;180;900;0,28;25;1,72;-0,28;0,52;0,64;0,0688;0,245714286;3,571428571;176;24;0;0
1,7074;USDJPY;168;SSIStochStrategy;0,2;0,1;180;1020;0,34;26;1,71;-0,24;0,5;0,615384615;0,065769231;0,244285714;3,714285714;260;18;7;0
1,7074;USDJPY;168;SSIStochStrategy;0,45;0,12;210;840;0,3;26;1,71;-0,45;0,576923077;0,576923077;0,065769231;0,244285714;3,714285714;210;24;2;0
1,6876;USDJPY;168;SSIStochStrategy;0,46;0,22;210;960;0,42;24;1,69;-0,29;0,416666667;0,583333333;0,070416667;0,241428571;3,428571429;203;21;2;0
1,6875;USDJPY;168;SSIStochStrategy;0,24;0,13;210;1020;0,4;25;1,69;-0,19;0,52;0,68;0,0676;0,241428571;3,571428571;296;21;4;0
1,6864;USDJPY;168;SSIStochStrategy;0,26;0,13;120;1020;0,23;36;1,69;-0,28;0,5;0,666666667;0,046944444;0,241428571;5,142857143;192;33;2;0
1,6775;USDJPY;168;SSIStochStrategy;0,45;0,22;210;1080;0,26;25;1,68;-0,31;0,44;0,6;0,0672;0,24;3,571428571;200;22;2;0
1,6656;USDJPY;168;SSIStochStrategy;0,35;0,13;180;120;0,08;44;1,67;-0,39;0,477272727;0,522727273;0,037954545;0,238571429;6,285714286;144;26;2;15
1,6654;USDJPY;168;SSIStochStrategy;0,35;0,09;150;60;0,42;46;1,67;-0,1;0,52173913;0,5;0,036304348;0,238571429;6,571428571;204;42;2;1
1,6578;USDJPY;168;SSIStochStrategy;0,24;0,08;210;960;0,43;22;1,66;-0,16;0,545454545;0,636363636;0,075454545;0,237142857;3,142857143;180;17;4;0
1,6576;USDJPY;168;SSIStochStrategy;0,49;0,15;180;1140;0,48;24;1,66;-0,29;0,458333333;0,541666667;0,069166667;0,237142857;3,428571429;175;22;1;0
1,6571;USDJPY;168;SSIStochStrategy;0,5;0,1;210;900;0,08;29;1,66;-0,45;0,517241379;0,517241379;0,057241379;0,237142857;4,142857143;161;16;2;10
1,6555;USDJPY;168;SSIStochStrategy;0,41;0,19;150;60;0,5;45;1,66;-0,3;0,511111111;0,555555556;0,036888889;0,237142857;6,428571429;208;43;1;0
1,6476;USDJPY;168;SSIStochStrategy;0,3;0,11;180;1140;0,32;24;1,65;-0,28;0,5;0,583333333;0,06875;0,235714286;3,428571429;169;20;3;0
1,6475;USDJPY;168;SSIStochStrategy;0,41;0,21;210;960;0,25;25;1,65;-0,37;0,44;0,6;0,066;0,235714286;3,571428571;202;22;2;0
1,6473;USDJPY;168;SSIStochStrategy;0,23;0,13;210;900;0,26;27;1,65;-0,23;0,592592593;0,592592593;0,061111111;0,235714286;3,857142857;195;22;5;0
1,6473;USDJPY;168;SSIStochStrategy;0,13;0,11;210;1020;0,36;27;1,65;-0,12;0,555555556;0,703703704;0,061111111;0,235714286;3,857142857;258;16;10;0
1,6464;USDJPY;168;SSIStochStrategy;0,4;0,16;150;480;0,27;36;1,65;-0,41;0,472222222;0,611111111;0,045833333;0,235714286;5,142857143;150;35;1;0
1,6438;USDJPY;168;SSIStochStrategy;0,27;0,09;150;540;0,02;62;1,65;-0,15;0,548387097;0,290322581;0,026612903;0,235714286;8,857142857;60;16;3;43
1,6278;USDJPY;168;SSIStochStrategy;0,38;0,1;210;1140;0,35;22;1,63;-0,29;0,545454545;0,545454545;0,074090909;0,232857143;3,142857143;193;19;2;0
1,6275;USDJPY;168;SSIStochStrategy;0,38;0,15;180;1080;0,32;25;1,63;-0,25;0,44;0,6;0,0652;0,232857143;3,571428571;280;22;2;0
1,6273;USDJPY;168;SSIStochStrategy;0,5;0,12;180;960;0,18;27;1,63;-0,53;0,518518519;0,592592593;0,06037037;0,232857143;3,857142857;168;21;1;4
