Score;Pair;Time;Strategy;PostT;PreT;Threshold;takeprofit;stoploss;FollowTrend;positions;profit;drawdown;long;winning;pips/position;pips/day;positions/day;positivedaysratio;meanloss;meanwin;meantrade;stddeviationwin;stddeviationloss;stddeviation;holdtime/positions;hitsl;hittp;hitto;
-0,0167000000000002;EURUSD;912;FastMovement-Strategy;50;7;0,4;0,21;0,38;False;5;-0,0162000000000002;-0,0162000000000002;1;0,2;-0,00324000000000004;-0,00042631578947369;0,131578947368421;0;-0,00467500000000004;0,00249999999999995;-0,00324000000000004;0;0,000653356717268599;0,00292889057494471;15;4;1;0;
-0,0242999999999998;EURUSD;912;FastMovement-Strategy;10;11;0,3;0,11;0,2;False;21;-0,0221999999999998;-0,0229999999999999;0,80952380952381;0,333333333333333;-0,00105714285714285;-0,000584210526315784;0,552631578947368;0,333333333333333;-0,00222307692307692;0,000957142857142879;-0,00110999999999999;0,000420398256273209;0,0019795702121552;0,00221582941581704;8;4;4;13;
-0,330099999999998;USDJPY;912;FastMovement-Strategy;90;1;0,6;0,4;0,24;False;1;-0,329999999999998;-0,329999999999998;0;0;-0,329999999999998;-0,00868421052631574;0,0263157894736842;n. def.;-0,329999999999998;n. def.;-0,329999999999998;n. def.;0;0;47;1;0;0;
-0,0194000000000004;USDCHF;912;FastMovement-Strategy;30;7;0,17;0,33;0,34;True;68;-0,0126000000000004;-0,0126000000000004;0,558823529411765;0,441176470588235;-0,000185294117647065;-0,000331578947368431;1,78947368421053;0,4;-0,00128378378378379;0,00116333333333333;-0,000188059701492543;0,0012757960477896;0,000800173465488686;0,00160098126514994;28;2;4;62;
9,9999999999978E-05;GBPUSD;912;FastMovement-Strategy;60;6;0,52;0,26;0,29;True;1;0,000199999999999978;0;0;1;0,000199999999999978;5,26315789473626E-06;0,0263157894736842;n. def.;n. def.;0,000199999999999978;0,000199999999999978;0;n. def.;0;60;0;0;1;
-0,0179000000000001;EURUSD;912;FastMovement-Strategy;80;25;0,6;0,21;0,29;False;5;-0,0174000000000001;-0,0174000000000001;1;0,2;-0,00348000000000002;-0,000457894736842107;0,131578947368421;0;-0,00495000000000001;0,00239999999999996;-0,00348000000000002;0;0,00126194294641236;0,00314922212617654;19;4;1;0;
-0,440700000000012;USDJPY;912;FastMovement-Strategy;180;14;0,35;0,23;0,28;True;7;-0,440000000000012;-0,740000000000009;0,714285714285714;0,428571428571429;-0,0628571428571446;-0,0115789473684214;0,184210526315789;0,333333333333333;-0,305000000000003;0,26;-0,0628571428571446;0,0432049379893837;0,130096118312576;0,297739785033572;96;3;2;2;
-0,0684999999999979;USDCHF;912;FastMovement-Strategy;120;29;0,06;0,23;0,18;False;433;-0,0251999999999979;-0,0293999999999984;0,491916859122402;0,478060046189376;-5,81986143187018E-05;-0,000663157894736787;11,3947368421053;0,375;-0,00132102803738317;0,001243961352657;-5,98574821852681E-05;0,000871973583816349;0,00114926911725966;0,00163999275203262;141;83;65;284;
0,0073999999999999;EURUSD;912;FastMovement-Strategy;30;13;0,26;0,22;0,21;True;33;0,0106999999999999;-0,00410000000000021;0,363636363636364;0,545454545454545;0,000324242424242422;0,000281578947368419;0,868421052631579;0,5;-0,00152857142857143;0,00178333333333333;0,000334374999999998;0,00188421808126817;0,000694291593155598;0,00221523268741121;25;4;7;22;
-0,0129;EURUSD;912;FastMovement-Strategy;40;21;0,67;0,21;0,02;False;6;-0,0123;-0,0123;1;0,166666666666667;-0,00205;-0,000323684210526315;0,157894736842105;0;-0,00300000000000002;0,00270000000000015;-0,00205;0;0,002063976744055;0,00283945417290017;9;5;1;0;
0,00610000000000008;USDCHF;912;FastMovement-Strategy;80;2;0,49;0,31;0,19;True;2;0,00630000000000008;0;1;1;0,00315000000000004;0,000165789473684213;0,0526315789473684;1;n. def.;0,00315000000000004;0,00315000000000004;5,000000000005E-05;n. def.;5,000000000005E-05;12;0;2;0;
-0,00560000000000006;EURUSD;912;FastMovement-Strategy;20;1;0,51;0,29;0,35;False;1;-0,00550000000000006;-0,00550000000000006;1;0;-0,00550000000000006;-0,000144736842105265;0,0263157894736842;n. def.;-0,00550000000000006;n. def.;-0,00550000000000006;n. def.;0;0;1;1;0;0;
-0,0192999999999987;EURUSD;912;FastMovement-Strategy;60;13;0,17;0,25;0,06;True;119;-0,00739999999999874;-0,00739999999999874;0,487394957983193;0,252100840336134;-6,21848739495692E-05;-0,00019473684210523;3,13157894736842;0,428571428571429;-0,000737499999999992;0,00191666666666668;-6,2711864406769E-05;0,00148640132161167;0,0001687605215575;0,00138513883598143;23;85;12;22;
-0,0172999999999995;GBPUSD;912;FastMovement-Strategy;60;5;0,12;0,02;0,05;True;86;-0,00869999999999949;-0,00999999999999956;0,441860465116279;0,476744186046512;-0,000101162790697668;-0,000228947368421039;2,26315789473684;0,333333333333333;-0,000904444444444448;0,000780487804878066;-0,000101162790697668;0,000674345034430459;0,00018850942275954;0,000971392453687279;4;45;41;0;
-0,00099999999999979;GBPUSD;912;FastMovement-Strategy;90;13;0,19;0,39;0,3;True;31;0,00210000000000021;-0,00229999999999975;0,451612903225806;0,419354838709677;6,77419354838778E-05;5,52631578947424E-05;0,815789473684211;0,5;-0,00211176470588234;0,00292307692307693;7,00000000000071E-05;0,00190673052678537;0,00148358958687488;0,0030078951666129;80;2;2;27;
-0,0001;USDJPY;912;FastMovement-Strategy;20;4;0,67;0,11;0,39;True;1;0;0;1;0;0;0;0,0263157894736842;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;20;0;0;1;
-0,0114999999999999;EURUSD;912;FastMovement-Strategy;160;4;0,5;0,27;0,26;False;3;-0,0111999999999999;-0,0111999999999999;1;0;-0,00373333333333329;-0,00029473684210526;0,0789473684210526;0;-0,00373333333333329;n. def.;-0,00373333333333329;n. def.;0,000498887651570002;0,000498887651570002;9;3;0;0;
